level,lesson,question_vi,answer_zh,explanation
"HSK 4","1","Tôi thường nâng cao hiệu quả công việc.","我通常提高工作效率。","提高工作效率 = nâng cao hiệu quả công việc"
"HSK 4","1","Tôi thường phân tích nguyên nhân.","我通常分析原因。","分析原因 = phân tích nguyên nhân"
"HSK 4","1","Tôi thường đưa ra quyết định.","我通常做出决定。","做出决定 = đưa ra quyết định"
"HSK 4","1","Tôi thường thích nghi với môi trường.","我通常适应环境。","适应环境 = thích nghi với môi trường"
"HSK 4","1","Tôi thường xây dựng kế hoạch dài hạn.","我通常制定长期计划。","制定长期计划 = xây dựng kế hoạch dài hạn"
"HSK 4","1","Tôi thường cải thiện chất lượng cuộc sống.","我通常改善生活质量。","改善生活质量 = cải thiện chất lượng cuộc sống"
"HSK 4","1","Tôi thường hợp tác với đồng nghiệp.","我通常和同事合作。","和同事合作 = hợp tác với đồng nghiệp"
"HSK 4","1","Tôi thường giảm áp lực.","我通常减轻压力。","减轻压力 = giảm áp lực"
"HSK 4","1","Tôi thường tích lũy kinh nghiệm.","我通常积累经验。","积累经验 = tích lũy kinh nghiệm"
"HSK 4","1","Tôi thường giải thích quan điểm.","我通常解释观点。","解释观点 = giải thích quan điểm"
"HSK 4","2","Tôi muốn nâng cao hiệu quả công việc.","我想提高工作效率。","提高工作效率 = nâng cao hiệu quả công việc"
"HSK 4","2","Tôi muốn phân tích nguyên nhân.","我想分析原因。","分析原因 = phân tích nguyên nhân"
"HSK 4","2","Tôi muốn đưa ra quyết định.","我想做出决定。","做出决定 = đưa ra quyết định"
"HSK 4","2","Tôi muốn thích nghi với môi trường.","我想适应环境。","适应环境 = thích nghi với môi trường"
"HSK 4","2","Tôi muốn xây dựng kế hoạch dài hạn.","我想制定长期计划。","制定长期计划 = xây dựng kế hoạch dài hạn"
"HSK 4","2","Tôi muốn cải thiện chất lượng cuộc sống.","我想改善生活质量。","改善生活质量 = cải thiện chất lượng cuộc sống"
"HSK 4","2","Tôi muốn hợp tác với đồng nghiệp.","我想和同事合作。","和同事合作 = hợp tác với đồng nghiệp"
"HSK 4","2","Tôi muốn giảm áp lực.","我想减轻压力。","减轻压力 = giảm áp lực"
"HSK 4","2","Tôi muốn tích lũy kinh nghiệm.","我想积累经验。","积累经验 = tích lũy kinh nghiệm"
"HSK 4","2","Tôi muốn giải thích quan điểm.","我想解释观点。","解释观点 = giải thích quan điểm"
"HSK 4","3","Tôi đang nâng cao hiệu quả công việc.","我正在提高工作效率。","提高工作效率 = nâng cao hiệu quả công việc"
"HSK 4","3","Tôi đang phân tích nguyên nhân.","我正在分析原因。","分析原因 = phân tích nguyên nhân"
"HSK 4","3","Tôi đang đưa ra quyết định.","我正在做出决定。","做出决定 = đưa ra quyết định"
"HSK 4","3","Tôi đang thích nghi với môi trường.","我正在适应环境。","适应环境 = thích nghi với môi trường"
"HSK 4","3","Tôi đang xây dựng kế hoạch dài hạn.","我正在制定长期计划。","制定长期计划 = xây dựng kế hoạch dài hạn"
"HSK 4","3","Tôi đang cải thiện chất lượng cuộc sống.","我正在改善生活质量。","改善生活质量 = cải thiện chất lượng cuộc sống"
"HSK 4","3","Tôi đang hợp tác với đồng nghiệp.","我正在和同事合作。","和同事合作 = hợp tác với đồng nghiệp"
"HSK 4","3","Tôi đang giảm áp lực.","我正在减轻压力。","减轻压力 = giảm áp lực"
"HSK 4","3","Tôi đang tích lũy kinh nghiệm.","我正在积累经验。","积累经验 = tích lũy kinh nghiệm"
"HSK 4","3","Tôi đang giải thích quan điểm.","我正在解释观点。","解释观点 = giải thích quan điểm"
"HSK 4","4","Nếu có thời gian, tôi sẽ nâng cao hiệu quả công việc.","如果有时间，我就会提高工作效率。","提高工作效率 = nâng cao hiệu quả công việc"
"HSK 4","4","Nếu có thời gian, tôi sẽ phân tích nguyên nhân.","如果有时间，我就会分析原因。","分析原因 = phân tích nguyên nhân"
"HSK 4","4","Nếu có thời gian, tôi sẽ đưa ra quyết định.","如果有时间，我就会做出决定。","做出决定 = đưa ra quyết định"
"HSK 4","4","Nếu có thời gian, tôi sẽ thích nghi với môi trường.","如果有时间，我就会适应环境。","适应环境 = thích nghi với môi trường"
"HSK 4","4","Nếu có thời gian, tôi sẽ xây dựng kế hoạch dài hạn.","如果有时间，我就会制定长期计划。","制定长期计划 = xây dựng kế hoạch dài hạn"
"HSK 4","4","Nếu có thời gian, tôi sẽ cải thiện chất lượng cuộc sống.","如果有时间，我就会改善生活质量。","改善生活质量 = cải thiện chất lượng cuộc sống"
"HSK 4","4","Nếu có thời gian, tôi sẽ hợp tác với đồng nghiệp.","如果有时间，我就会和同事合作。","和同事合作 = hợp tác với đồng nghiệp"
"HSK 4","4","Nếu có thời gian, tôi sẽ giảm áp lực.","如果有时间，我就会减轻压力。","减轻压力 = giảm áp lực"
"HSK 4","4","Nếu có thời gian, tôi sẽ tích lũy kinh nghiệm.","如果有时间，我就会积累经验。","积累经验 = tích lũy kinh nghiệm"
"HSK 4","4","Nếu có thời gian, tôi sẽ giải thích quan điểm.","如果有时间，我就会解释观点。","解释观点 = giải thích quan điểm"
"HSK 4","5","Việc nâng cao hiệu quả công việc rất quan trọng.","提高工作效率很重要。","提高工作效率 = nâng cao hiệu quả công việc"
"HSK 4","5","Việc phân tích nguyên nhân rất quan trọng.","分析原因很重要。","分析原因 = phân tích nguyên nhân"
"HSK 4","5","Việc đưa ra quyết định rất quan trọng.","做出决定很重要。","做出决定 = đưa ra quyết định"
"HSK 4","5","Việc thích nghi với môi trường rất quan trọng.","适应环境很重要。","适应环境 = thích nghi với môi trường"
"HSK 4","5","Việc xây dựng kế hoạch dài hạn rất quan trọng.","制定长期计划很重要。","制定长期计划 = xây dựng kế hoạch dài hạn"
"HSK 4","5","Việc cải thiện chất lượng cuộc sống rất quan trọng.","改善生活质量很重要。","改善生活质量 = cải thiện chất lượng cuộc sống"
"HSK 4","5","Việc hợp tác với đồng nghiệp rất quan trọng.","和同事合作很重要。","和同事合作 = hợp tác với đồng nghiệp"
"HSK 4","5","Việc giảm áp lực rất quan trọng.","减轻压力很重要。","减轻压力 = giảm áp lực"
"HSK 4","5","Việc tích lũy kinh nghiệm rất quan trọng.","积累经验很重要。","积累经验 = tích lũy kinh nghiệm"
"HSK 4","5","Việc giải thích quan điểm rất quan trọng.","解释观点很重要。","解释观点 = giải thích quan điểm"
"HSK 4","6","Chúng ta nên cùng nhau nâng cao hiệu quả công việc.","我们应该一起提高工作效率。","提高工作效率 = nâng cao hiệu quả công việc"
