level,lesson,question_vi,answer_zh,explanation
"HSK 6","1","Tôi thường thúc đẩy chuyển đổi số.","我通常推动数字化转型。","推动数字化转型 = thúc đẩy chuyển đổi số"
"HSK 6","1","Tôi thường tối ưu hóa cơ cấu công nghiệp.","我通常优化产业结构。","优化产业结构 = tối ưu hóa cơ cấu công nghiệp"
"HSK 6","1","Tôi thường nâng cao năng lực cạnh tranh.","我通常提升竞争力。","提升竞争力 = nâng cao năng lực cạnh tranh"
"HSK 6","1","Tôi thường giải quyết mâu thuẫn xã hội.","我通常解决社会矛盾。","解决社会矛盾 = giải quyết mâu thuẫn xã hội"
"HSK 6","1","Tôi thường xây dựng cơ chế minh bạch.","我通常建立透明机制。","建立透明机制 = xây dựng cơ chế minh bạch"
"HSK 6","1","Tôi thường ứng phó với biến đổi khí hậu.","我通常应对气候变化。","应对气候变化 = ứng phó với biến đổi khí hậu"
"HSK 6","1","Tôi thường thúc đẩy phát triển bền vững.","我通常促进可持续发展。","促进可持续发展 = thúc đẩy phát triển bền vững"
"HSK 6","1","Tôi thường tăng cường quản trị rủi ro.","我通常加强风险管理。","加强风险管理 = tăng cường quản trị rủi ro"
"HSK 6","1","Tôi thường mở rộng hợp tác quốc tế.","我通常拓展国际合作。","拓展国际合作 = mở rộng hợp tác quốc tế"
"HSK 6","1","Tôi thường bảo tồn di sản văn hóa.","我通常保护文化遗产。","保护文化遗产 = bảo tồn di sản văn hóa"
"HSK 6","2","Tôi muốn thúc đẩy chuyển đổi số.","我想推动数字化转型。","推动数字化转型 = thúc đẩy chuyển đổi số"
"HSK 6","2","Tôi muốn tối ưu hóa cơ cấu công nghiệp.","我想优化产业结构。","优化产业结构 = tối ưu hóa cơ cấu công nghiệp"
"HSK 6","2","Tôi muốn nâng cao năng lực cạnh tranh.","我想提升竞争力。","提升竞争力 = nâng cao năng lực cạnh tranh"
"HSK 6","2","Tôi muốn giải quyết mâu thuẫn xã hội.","我想解决社会矛盾。","解决社会矛盾 = giải quyết mâu thuẫn xã hội"
"HSK 6","2","Tôi muốn xây dựng cơ chế minh bạch.","我想建立透明机制。","建立透明机制 = xây dựng cơ chế minh bạch"
"HSK 6","2","Tôi muốn ứng phó với biến đổi khí hậu.","我想应对气候变化。","应对气候变化 = ứng phó với biến đổi khí hậu"
"HSK 6","2","Tôi muốn thúc đẩy phát triển bền vững.","我想促进可持续发展。","促进可持续发展 = thúc đẩy phát triển bền vững"
"HSK 6","2","Tôi muốn tăng cường quản trị rủi ro.","我想加强风险管理。","加强风险管理 = tăng cường quản trị rủi ro"
"HSK 6","2","Tôi muốn mở rộng hợp tác quốc tế.","我想拓展国际合作。","拓展国际合作 = mở rộng hợp tác quốc tế"
"HSK 6","2","Tôi muốn bảo tồn di sản văn hóa.","我想保护文化遗产。","保护文化遗产 = bảo tồn di sản văn hóa"
"HSK 6","3","Tôi đang thúc đẩy chuyển đổi số.","我正在推动数字化转型。","推动数字化转型 = thúc đẩy chuyển đổi số"
"HSK 6","3","Tôi đang tối ưu hóa cơ cấu công nghiệp.","我正在优化产业结构。","优化产业结构 = tối ưu hóa cơ cấu công nghiệp"
"HSK 6","3","Tôi đang nâng cao năng lực cạnh tranh.","我正在提升竞争力。","提升竞争力 = nâng cao năng lực cạnh tranh"
"HSK 6","3","Tôi đang giải quyết mâu thuẫn xã hội.","我正在解决社会矛盾。","解决社会矛盾 = giải quyết mâu thuẫn xã hội"
"HSK 6","3","Tôi đang xây dựng cơ chế minh bạch.","我正在建立透明机制。","建立透明机制 = xây dựng cơ chế minh bạch"
"HSK 6","3","Tôi đang ứng phó với biến đổi khí hậu.","我正在应对气候变化。","应对气候变化 = ứng phó với biến đổi khí hậu"
"HSK 6","3","Tôi đang thúc đẩy phát triển bền vững.","我正在促进可持续发展。","促进可持续发展 = thúc đẩy phát triển bền vững"
"HSK 6","3","Tôi đang tăng cường quản trị rủi ro.","我正在加强风险管理。","加强风险管理 = tăng cường quản trị rủi ro"
"HSK 6","3","Tôi đang mở rộng hợp tác quốc tế.","我正在拓展国际合作。","拓展国际合作 = mở rộng hợp tác quốc tế"
"HSK 6","3","Tôi đang bảo tồn di sản văn hóa.","我正在保护文化遗产。","保护文化遗产 = bảo tồn di sản văn hóa"
"HSK 6","4","Nếu có thời gian, tôi sẽ thúc đẩy chuyển đổi số.","如果有时间，我就会推动数字化转型。","推动数字化转型 = thúc đẩy chuyển đổi số"
"HSK 6","4","Nếu có thời gian, tôi sẽ tối ưu hóa cơ cấu công nghiệp.","如果有时间，我就会优化产业结构。","优化产业结构 = tối ưu hóa cơ cấu công nghiệp"
"HSK 6","4","Nếu có thời gian, tôi sẽ nâng cao năng lực cạnh tranh.","如果有时间，我就会提升竞争力。","提升竞争力 = nâng cao năng lực cạnh tranh"
"HSK 6","4","Nếu có thời gian, tôi sẽ giải quyết mâu thuẫn xã hội.","如果有时间，我就会解决社会矛盾。","解决社会矛盾 = giải quyết mâu thuẫn xã hội"
"HSK 6","4","Nếu có thời gian, tôi sẽ xây dựng cơ chế minh bạch.","如果有时间，我就会建立透明机制。","建立透明机制 = xây dựng cơ chế minh bạch"
"HSK 6","4","Nếu có thời gian, tôi sẽ ứng phó với biến đổi khí hậu.","如果有时间，我就会应对气候变化。","应对气候变化 = ứng phó với biến đổi khí hậu"
"HSK 6","4","Nếu có thời gian, tôi sẽ thúc đẩy phát triển bền vững.","如果有时间，我就会促进可持续发展。","促进可持续发展 = thúc đẩy phát triển bền vững"
"HSK 6","4","Nếu có thời gian, tôi sẽ tăng cường quản trị rủi ro.","如果有时间，我就会加强风险管理。","加强风险管理 = tăng cường quản trị rủi ro"
"HSK 6","4","Nếu có thời gian, tôi sẽ mở rộng hợp tác quốc tế.","如果有时间，我就会拓展国际合作。","拓展国际合作 = mở rộng hợp tác quốc tế"
