level,lesson,question_vi,answer_zh,explanation
"HSK 5","1","Tôi thường thúc đẩy phát triển kinh tế.","我通常促进经济发展。","促进经济发展 = thúc đẩy phát triển kinh tế"
"HSK 5","1","Tôi thường nâng cao nhận thức cộng đồng.","我通常提高公众意识。","提高公众意识 = nâng cao nhận thức cộng đồng"
"HSK 5","1","Tôi thường đối mặt với thách thức.","我通常面对挑战。","面对挑战 = đối mặt với thách thức"
"HSK 5","1","Tôi thường bảo đảm quyền lợi người tiêu dùng.","我通常保障消费者权益。","保障消费者权益 = bảo đảm quyền lợi người tiêu dùng"
"HSK 5","1","Tôi thường phân bổ nguồn lực hợp lý.","我通常合理分配资源。","合理分配资源 = phân bổ nguồn lực hợp lý"
"HSK 5","1","Tôi thường tạo ra cơ hội việc làm.","我通常创造就业机会。","创造就业机会 = tạo ra cơ hội việc làm"
"HSK 5","1","Tôi thường duy trì mối quan hệ ổn định.","我通常维持稳定关系。","维持稳定关系 = duy trì mối quan hệ ổn định"
"HSK 5","1","Tôi thường thực hiện cải cách toàn diện.","我通常实行全面改革。","实行全面改革 = thực hiện cải cách toàn diện"
"HSK 5","1","Tôi thường tăng cường giao lưu văn hóa.","我通常加强文化交流。","加强文化交流 = tăng cường giao lưu văn hóa"
"HSK 5","1","Tôi thường đánh giá tác động xã hội.","我通常评估社会影响。","评估社会影响 = đánh giá tác động xã hội"
"HSK 5","2","Tôi muốn thúc đẩy phát triển kinh tế.","我想促进经济发展。","促进经济发展 = thúc đẩy phát triển kinh tế"
"HSK 5","2","Tôi muốn nâng cao nhận thức cộng đồng.","我想提高公众意识。","提高公众意识 = nâng cao nhận thức cộng đồng"
"HSK 5","2","Tôi muốn đối mặt với thách thức.","我想面对挑战。","面对挑战 = đối mặt với thách thức"
"HSK 5","2","Tôi muốn bảo đảm quyền lợi người tiêu dùng.","我想保障消费者权益。","保障消费者权益 = bảo đảm quyền lợi người tiêu dùng"
"HSK 5","2","Tôi muốn phân bổ nguồn lực hợp lý.","我想合理分配资源。","合理分配资源 = phân bổ nguồn lực hợp lý"
"HSK 5","2","Tôi muốn tạo ra cơ hội việc làm.","我想创造就业机会。","创造就业机会 = tạo ra cơ hội việc làm"
"HSK 5","2","Tôi muốn duy trì mối quan hệ ổn định.","我想维持稳定关系。","维持稳定关系 = duy trì mối quan hệ ổn định"
"HSK 5","2","Tôi muốn thực hiện cải cách toàn diện.","我想实行全面改革。","实行全面改革 = thực hiện cải cách toàn diện"
"HSK 5","2","Tôi muốn tăng cường giao lưu văn hóa.","我想加强文化交流。","加强文化交流 = tăng cường giao lưu văn hóa"
"HSK 5","2","Tôi muốn đánh giá tác động xã hội.","我想评估社会影响。","评估社会影响 = đánh giá tác động xã hội"
"HSK 5","3","Tôi đang thúc đẩy phát triển kinh tế.","我正在促进经济发展。","促进经济发展 = thúc đẩy phát triển kinh tế"
"HSK 5","3","Tôi đang nâng cao nhận thức cộng đồng.","我正在提高公众意识。","提高公众意识 = nâng cao nhận thức cộng đồng"
"HSK 5","3","Tôi đang đối mặt với thách thức.","我正在面对挑战。","面对挑战 = đối mặt với thách thức"
"HSK 5","3","Tôi đang bảo đảm quyền lợi người tiêu dùng.","我正在保障消费者权益。","保障消费者权益 = bảo đảm quyền lợi người tiêu dùng"
"HSK 5","3","Tôi đang phân bổ nguồn lực hợp lý.","我正在合理分配资源。","合理分配资源 = phân bổ nguồn lực hợp lý"
"HSK 5","3","Tôi đang tạo ra cơ hội việc làm.","我正在创造就业机会。","创造就业机会 = tạo ra cơ hội việc làm"
"HSK 5","3","Tôi đang duy trì mối quan hệ ổn định.","我正在维持稳定关系。","维持稳定关系 = duy trì mối quan hệ ổn định"
"HSK 5","3","Tôi đang thực hiện cải cách toàn diện.","我正在实行全面改革。","实行全面改革 = thực hiện cải cách toàn diện"
"HSK 5","3","Tôi đang tăng cường giao lưu văn hóa.","我正在加强文化交流。","加强文化交流 = tăng cường giao lưu văn hóa"
"HSK 5","3","Tôi đang đánh giá tác động xã hội.","我正在评估社会影响。","评估社会影响 = đánh giá tác động xã hội"
"HSK 5","4","Nếu có thời gian, tôi sẽ thúc đẩy phát triển kinh tế.","如果有时间，我就会促进经济发展。","促进经济发展 = thúc đẩy phát triển kinh tế"
"HSK 5","4","Nếu có thời gian, tôi sẽ nâng cao nhận thức cộng đồng.","如果有时间，我就会提高公众意识。","提高公众意识 = nâng cao nhận thức cộng đồng"
"HSK 5","4","Nếu có thời gian, tôi sẽ đối mặt với thách thức.","如果有时间，我就会面对挑战。","面对挑战 = đối mặt với thách thức"
"HSK 5","4","Nếu có thời gian, tôi sẽ bảo đảm quyền lợi người tiêu dùng.","如果有时间，我就会保障消费者权益。","保障消费者权益 = bảo đảm quyền lợi người tiêu dùng"
"HSK 5","4","Nếu có thời gian, tôi sẽ phân bổ nguồn lực hợp lý.","如果有时间，我就会合理分配资源。","合理分配资源 = phân bổ nguồn lực hợp lý"
"HSK 5","4","Nếu có thời gian, tôi sẽ tạo ra cơ hội việc làm.","如果有时间，我就会创造就业机会。","创造就业机会 = tạo ra cơ hội việc làm"
"HSK 5","4","Nếu có thời gian, tôi sẽ duy trì mối quan hệ ổn định.","如果有时间，我就会维持稳定关系。","维持稳定关系 = duy trì mối quan hệ ổn định"
"HSK 5","4","Nếu có thời gian, tôi sẽ thực hiện cải cách toàn diện.","如果有时间，我就会实行全面改革。","实行全面改革 = thực hiện cải cách toàn diện"
"HSK 5","4","Nếu có thời gian, tôi sẽ tăng cường giao lưu văn hóa.","如果有时间，我就会加强文化交流。","加强文化交流 = tăng cường giao lưu văn hóa"
"HSK 5","4","Nếu có thời gian, tôi sẽ đánh giá tác động xã hội.","如果有时间，我就会评估社会影响。","评估社会影响 = đánh giá tác động xã hội"
"HSK 5","5","Việc thúc đẩy phát triển kinh tế rất quan trọng.","促进经济发展很重要。","促进经济发展 = thúc đẩy phát triển kinh tế"
"HSK 5","5","Việc nâng cao nhận thức cộng đồng rất quan trọng.","提高公众意识很重要。","提高公众意识 = nâng cao nhận thức cộng đồng"
"HSK 5","5","Việc đối mặt với thách thức rất quan trọng.","面对挑战很重要。","面对挑战 = đối mặt với thách thức"
"HSK 5","5","Việc bảo đảm quyền lợi người tiêu dùng rất quan trọng.","保障消费者权益很重要。","保障消费者权益 = bảo đảm quyền lợi người tiêu dùng"
"HSK 5","5","Việc phân bổ nguồn lực hợp lý rất quan trọng.","合理分配资源很重要。","合理分配资源 = phân bổ nguồn lực hợp lý"
"HSK 5","5","Việc tạo ra cơ hội việc làm rất quan trọng.","创造就业机会很重要。","创造就业机会 = tạo ra cơ hội việc làm"
"HSK 5","5","Việc duy trì mối quan hệ ổn định rất quan trọng.","维持稳定关系很重要。","维持稳定关系 = duy trì mối quan hệ ổn định"
"HSK 5","5","Việc thực hiện cải cách toàn diện rất quan trọng.","实行全面改革很重要。","实行全面改革 = thực hiện cải cách toàn diện"
"HSK 5","5","Việc tăng cường giao lưu văn hóa rất quan trọng.","加强文化交流很重要。","加强文化交流 = tăng cường giao lưu văn hóa"
"HSK 5","5","Việc đánh giá tác động xã hội rất quan trọng.","评估社会影响很重要。","评估社会影响 = đánh giá tác động xã hội"
"HSK 5","6","Chúng ta nên cùng nhau thúc đẩy phát triển kinh tế.","我们应该一起促进经济发展。","促进经济发展 = thúc đẩy phát triển kinh tế"
"HSK 5","6","Chúng ta nên cùng nhau nâng cao nhận thức cộng đồng.","我们应该一起提高公众意识。","提高公众意识 = nâng cao nhận thức cộng đồng"
"HSK 5","6","Chúng ta nên cùng nhau đối mặt với thách thức.","我们应该一起面对挑战。","面对挑战 = đối mặt với thách thức"
"HSK 5","6","Chúng ta nên cùng nhau bảo đảm quyền lợi người tiêu dùng.","我们应该一起保障消费者权益。","保障消费者权益 = bảo đảm quyền lợi người tiêu dùng"
"HSK 5","6","Chúng ta nên cùng nhau phân bổ nguồn lực hợp lý.","我们应该一起合理分配资源。","合理分配资源 = phân bổ nguồn lực hợp lý"
