level,lesson,question_vi,answer_zh,words,explanation
HSK 2,1,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,1,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,1,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,1,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,1,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,1,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,1,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,1,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,1,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,1,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
HSK 2,2,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,2,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,2,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,2,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,2,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,2,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,2,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,2,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,2,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,2,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
HSK 2,3,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,3,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,3,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,3,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,3,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,3,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,3,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,3,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,3,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,3,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
