level,lesson,question_vi,answer_zh,explanation
"HSK 3","1","Tôi thường đọc báo.","我通常看报纸。","看报纸 = đọc báo"
"HSK 3","1","Tôi thường đặt vé máy bay.","我通常订机票。","订机票 = đặt vé máy bay"
"HSK 3","1","Tôi thường tham gia hoạt động.","我通常参加活动。","参加活动 = tham gia hoạt động"
"HSK 3","1","Tôi thường giải quyết vấn đề.","我通常解决问题。","解决问题 = giải quyết vấn đề"
"HSK 3","1","Tôi thường luyện phát âm.","我通常练习发音。","练习发音 = luyện phát âm"
"HSK 3","1","Tôi thường thảo luận kế hoạch.","我通常讨论计划。","讨论计划 = thảo luận kế hoạch"
"HSK 3","1","Tôi thường bảo vệ môi trường.","我通常保护环境。","保护环境 = bảo vệ môi trường"
"HSK 3","1","Tôi thường thay đổi thói quen.","我通常改变习惯。","改变习惯 = thay đổi thói quen"
"HSK 3","1","Tôi thường du lịch nước ngoài.","我通常出国旅游。","出国旅游 = du lịch nước ngoài"
"HSK 3","1","Tôi thường tìm kiếm thông tin.","我通常寻找信息。","寻找信息 = tìm kiếm thông tin"
"HSK 3","2","Tôi muốn đọc báo.","我想看报纸。","看报纸 = đọc báo"
"HSK 3","2","Tôi muốn đặt vé máy bay.","我想订机票。","订机票 = đặt vé máy bay"
"HSK 3","2","Tôi muốn tham gia hoạt động.","我想参加活动。","参加活动 = tham gia hoạt động"
"HSK 3","2","Tôi muốn giải quyết vấn đề.","我想解决问题。","解决问题 = giải quyết vấn đề"
"HSK 3","2","Tôi muốn luyện phát âm.","我想练习发音。","练习发音 = luyện phát âm"
"HSK 3","2","Tôi muốn thảo luận kế hoạch.","我想讨论计划。","讨论计划 = thảo luận kế hoạch"
"HSK 3","2","Tôi muốn bảo vệ môi trường.","我想保护环境。","保护环境 = bảo vệ môi trường"
"HSK 3","2","Tôi muốn thay đổi thói quen.","我想改变习惯。","改变习惯 = thay đổi thói quen"
"HSK 3","2","Tôi muốn du lịch nước ngoài.","我想出国旅游。","出国旅游 = du lịch nước ngoài"
"HSK 3","2","Tôi muốn tìm kiếm thông tin.","我想寻找信息。","寻找信息 = tìm kiếm thông tin"
"HSK 3","3","Tôi đang đọc báo.","我正在看报纸。","看报纸 = đọc báo"
"HSK 3","3","Tôi đang đặt vé máy bay.","我正在订机票。","订机票 = đặt vé máy bay"
"HSK 3","3","Tôi đang tham gia hoạt động.","我正在参加活动。","参加活动 = tham gia hoạt động"
"HSK 3","3","Tôi đang giải quyết vấn đề.","我正在解决问题。","解决问题 = giải quyết vấn đề"
"HSK 3","3","Tôi đang luyện phát âm.","我正在练习发音。","练习发音 = luyện phát âm"
"HSK 3","3","Tôi đang thảo luận kế hoạch.","我正在讨论计划。","讨论计划 = thảo luận kế hoạch"
"HSK 3","3","Tôi đang bảo vệ môi trường.","我正在保护环境。","保护环境 = bảo vệ môi trường"
