level,lesson,question_vi,answer_zh,words,explanation
HSK 5,1,Mặc dù hôm nay rất bận nhưng tôi vẫn đến.,虽然今天很忙但是我还是来了。,"[""虽然"", ""今天"", ""很"", ""忙"", ""但是"", ""我"", ""还是"", ""来了""]",Sắp xếp các từ để tạo câu đúng: 虽然今天很忙但是我还是来了。
HSK 5,1,Tôi ngày càng hứng thú với lịch sử Trung Quốc.,我对中国历史越来越感兴趣。,"[""我"", ""对"", ""中国"", ""历史"", ""越来越"", ""感兴趣""]",Sắp xếp các từ để tạo câu đúng: 我对中国历史越来越感兴趣。
HSK 5,1,Ngoài tiếng Trung ra anh ấy còn biết tiếng Anh.,除了汉语以外他还会英语。,"[""除了"", ""汉语"", ""以外"", ""他"", ""还"", ""会"", ""英语""]",Sắp xếp các từ để tạo câu đúng: 除了汉语以外他还会英语。
HSK 5,1,Giáo viên yêu cầu chúng tôi hoàn thành bài đúng giờ.,老师要求我们按时完成作业。,"[""老师"", ""要求"", ""我们"", ""按时"", ""完成"", ""作业""]",Sắp xếp các từ để tạo câu đúng: 老师要求我们按时完成作业。
HSK 5,1,Nhà hàng này không những rẻ mà còn ngon.,这家餐厅不仅便宜而且好吃。,"[""这家"", ""餐厅"", ""不仅"", ""便宜"", ""而且"", ""好吃""]",Sắp xếp các từ để tạo câu đúng: 这家餐厅不仅便宜而且好吃。
HSK 5,1,Tôi viết kế hoạch du lịch vào sổ tay.,我把旅行计划写在笔记本上。,"[""我"", ""把"", ""旅行"", ""计划"", ""写"", ""在"", ""笔记本"", ""上""]",Sắp xếp các từ để tạo câu đúng: 我把旅行计划写在笔记本上。
HSK 5,1,Nghe nói bộ phim đó đã công chiếu rồi.,听说那部电影已经上映了。,"[""听说"", ""那部"", ""电影"", ""已经"", ""上映"", ""了""]",Sắp xếp các từ để tạo câu đúng: 听说那部电影已经上映了。
HSK 5,1,Anh ấy đã cải thiện phát âm qua việc luyện tập.,他通过练习提高了发音。,"[""他"", ""通过"", ""练习"", ""提高"", ""了"", ""发音""]",Sắp xếp các từ để tạo câu đúng: 他通过练习提高了发音。
HSK 5,1,Dù gặp khó khăn gì cũng đừng bỏ cuộc.,无论遇到什么困难都不要放弃。,"[""无论"", ""遇到"", ""什么"", ""困难"", ""都"", ""不要"", ""放弃""]",Sắp xếp các từ để tạo câu đúng: 无论遇到什么困难都不要放弃。
HSK 5,1,Chúng ta nên bảo vệ môi trường xung quanh.,我们应该保护周围的环境。,"[""我们"", ""应该"", ""保护"", ""周围"", ""的"", ""环境""]",Sắp xếp các từ để tạo câu đúng: 我们应该保护周围的环境。
